City_ID,City,Country,Max Temp,Current Description,Lat,Lon,Hotel Name
566,San Andres,CO,84.22,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
569,Kushima,JP,75.83,heavy intensity rain,31.4583,131.2333,Hanaoka
571,Pathardi,IN,75.67,moderate rain,19.1667,75.1833,श्रुतिमाऊली वेद पाठशाळा
572,Olinda,BR,80.33,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
582,Conceicao Do Araguaia,BR,87.46,overcast clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
583,Markala,ML,87.1,overcast clouds,13.7021,-6.0659,Hôtel Igor
594,Funadhoo,MV,81.32,light rain,6.15,73.2667,Dhaffalhu Tourist Lodge
595,Cozumel,MX,89.67,scattered clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
596,Juneau,US,76.1,broken clouds,58.3019,-134.4197,"Baranof Downtown, BW Signature Collection"
597,Buluang,PH,77.59,light rain,13.3068,123.3425,Sacueza Beach Resort
605,Mangrol,IN,83.17,overcast clouds,21.1167,70.1167,Hotel The Royal Honours
611,Podgorica,ME,83.98,scattered clouds,42.4411,19.2636,Hotel Podgorica
616,Yanam,IN,76.57,overcast clouds,16.7333,82.2167,The Regency Hotel
618,Hede,CN,75.09,overcast clouds,33.7681,120.2517,Vienna 3 Best Hotel Sheyang Jiefang Rd
619,Caraballeda,VE,86.07,scattered clouds,10.6112,-66.8522,Hotel 15 Letras
621,Ariquemes,BR,89.58,broken clouds,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
622,Jaciara,BR,83.91,broken clouds,-15.9653,-54.9683,Taba Hotel
623,Tuy Hoa,VN,81.46,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
628,Gonbad-E Qabus,IR,75.11,clear sky,37.25,55.1672,Samin Building
630,Whitehorse,CA,78.03,few clouds,60.7161,-135.0538,The Sternwheeler Hotel & Conference Centre
632,Singaraja,ID,78.84,broken clouds,-8.112,115.0882,Puri Bagus Lovina Resort
635,Taitung,TW,79.92,overcast clouds,22.7583,121.1444,Taitung Bali Suites Hotel
636,Waingapu,ID,76.3,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
639,Seoul,KR,76.6,clear sky,37.5683,126.9778,롯데호텔 서울
641,Padilla,CO,85.57,broken clouds,3.2204,-76.3139,La Granadina
643,Cortez,US,78.69,overcast clouds,37.3489,-108.5859,Sand Canyon National 9 Inn
647,Vila Velha,BR,76.95,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
649,Qui Nhon,VN,82.18,overcast clouds,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
651,Catuday,PH,81.16,overcast clouds,16.2923,119.8062,Benjie's Kubo & Cottages
653,Narasannapeta,IN,82.44,overcast clouds,18.4167,84.05,AVK events and catering
667,Chardara,KZ,80.73,clear sky,41.2547,67.9692,Жанаргул
669,Mogadishu,SO,76.51,overcast clouds,2.0371,45.3438,Hotel Juba
670,Doctor Arroyo,MX,84.09,broken clouds,23.6667,-100.1833,Hotel Plaza
677,Fundacion,CO,89.96,overcast clouds,10.5207,-74.185,Ganaderia Zoogan
679,Hibbing,US,76.42,overcast clouds,47.4272,-92.9377,Mitchell-Tappan House - Carriage House Rentals
680,Mahibadhoo,MV,82.49,overcast clouds,3.7833,72.9667,Omadhoo Inn
683,Asheville,US,79.3,broken clouds,35.6009,-82.554,Four Points by Sheraton Asheville Downtown
684,Rock Springs,US,85.23,clear sky,41.5875,-109.2029,Homewood Suites by Hilton Rock Springs
686,Skowhegan,US,81.45,broken clouds,44.7651,-69.7192,"Yogi Bear's Jellystone Park™ at Yonderhill in Madison, ME"
687,Potsdam,DE,78.35,broken clouds,52.3989,13.0657,Dorint Hotel Sanssouci Berlin/Potsdam
688,Champerico,GT,84.74,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
690,Cobija,BO,89.78,broken clouds,-11.0267,-68.7692,Hotel Obelisco
691,Ciudad Bolivar,VE,84.18,broken clouds,8.1222,-63.5497,Hotel Edi
693,Kloulklubed,PW,75.7,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
694,Gorontalo,ID,75.76,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
695,Tochio,JP,75.54,overcast clouds,37.4667,139.0,大倉割烹旅館
697,Antigonish,CA,79.95,overcast clouds,45.6169,-61.9986,Claymore Inn and Suites
701,Norman Wells,CA,80.64,few clouds,65.282,-126.8329,Heritage Hotel
702,Mizdah,LY,77.11,clear sky,31.4451,12.9801,محمدالمبروك الاريقط
703,Limbang,MY,78.91,overcast clouds,4.75,115.0,Purnama Hotel
704,Gillette,US,88.95,clear sky,44.2911,-105.5022,National 9 Inn - Gillette WY
707,Tual,ID,77.56,moderate rain,-5.6667,132.75,Grand Vilia Hotel
712,Ugoofaaru,MV,81.1,overcast clouds,5.6667,73.0,Ungoofaaru Inn
715,Rafraf,TN,79.12,clear sky,37.1904,10.1837,Les Jardins de la Mer Ghar el Melh
716,Corinto,GR,76.89,clear sky,37.9407,22.9573,Ephira Hotel
722,Flagstaff,US,84.6,few clouds,35.1981,-111.6513,Drury Inn & Suites Flagstaff
723,Gombong,ID,75.58,scattered clouds,-7.6072,109.5142,Grafika Hotel Dan Restoran
725,Pochutla,MX,87.62,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
