City_ID,City,Country,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
286,Veraval,IN,20.9,70.3667,83.01,82,92,17.34,overcast clouds
287,Abomey,BJ,7.1829,1.9912,73.96,86,92,6.13,overcast clouds
288,Pacific Grove,US,36.6177,-121.9166,73.02,75,75,11.5,broken clouds
289,Maridi,SS,4.9158,29.4742,68.61,83,86,3.09,overcast clouds
290,Half Moon Bay,US,37.4636,-122.4286,72.41,72,100,16.11,overcast clouds
291,Mount Isa,AU,-20.7333,139.5,46.17,76,0,9.22,clear sky
292,Labuhan,ID,-6.8844,112.2051,78.53,88,51,7.25,broken clouds
293,Mapiripan,CO,2.8892,-72.1256,79.52,88,98,3.02,moderate rain
294,Fortuna,US,40.5982,-124.1573,63.93,77,75,1.01,broken clouds
295,Mamallapuram,IN,12.6264,80.1722,84.25,64,100,14.07,overcast clouds
296,Adre,TD,13.4667,22.2,78.73,58,100,10.04,overcast clouds
297,Arlit,NE,18.7369,7.3853,96.48,8,0,12.57,clear sky
298,Bom Jesus,BR,-9.0744,-44.3586,83.37,32,79,6.69,broken clouds
299,Kaoma,ZM,-14.7833,24.8,57.38,54,73,5.75,broken clouds
300,Ellisras,ZA,-23.6649,27.7443,56.37,51,3,5.14,clear sky
301,Prata,BR,-19.3072,-48.9242,74.95,28,0,2.66,clear sky
302,Safaga,EG,26.7292,33.9365,87.42,43,34,3.51,scattered clouds
303,Bodden Town,KY,19.2833,-81.25,89.6,72,20,14.97,few clouds
304,Montijo,PT,38.7067,-8.9739,70.02,79,0,8.05,clear sky
305,Pangnirtung,CA,66.1451,-65.7125,51.8,62,100,4.61,overcast clouds
306,Arona,ES,28.0996,-16.681,66.13,79,20,19.57,few clouds
307,Tapejara,BR,-28.0681,-52.0139,62.22,90,36,3.36,scattered clouds
308,Cherskiy,RU,68.75,161.3,47.32,93,100,3.42,overcast clouds
309,Sibut,CF,5.718,19.0739,72.79,77,10,0.56,clear sky
310,Camocim,BR,-2.9022,-40.8411,79.81,73,79,7.9,broken clouds
311,Yalta,UA,44.5,34.1667,69.17,59,0,4.97,clear sky
312,Hamilton,US,39.1834,-84.5333,90.75,39,0,9.22,clear sky
313,Mae Hong Son,TH,19.3003,97.9685,74.55,98,100,1.45,overcast clouds
314,Vila,PT,42.0304,-8.1588,65.28,78,91,3.71,overcast clouds
315,Tura,IN,25.5198,90.2201,74.28,97,55,5.08,broken clouds
316,Matara,LK,5.9485,80.5353,79.36,84,100,18.7,overcast clouds
317,Port Elizabeth,ZA,-33.918,25.5701,57.49,84,0,4.61,clear sky
318,Wahlstedt,DE,53.95,10.2167,64.02,95,27,3.67,scattered clouds
319,Clarksburg,US,39.2807,-80.3445,88.41,41,20,5.75,few clouds
320,Whyalla,AU,-33.0333,137.5833,47.03,80,0,12.97,clear sky
321,Santa Cruz De La Palma,ES,28.6835,-17.7642,71.74,73,20,13.8,few clouds
322,Lebu,CL,-37.6167,-73.65,49.51,75,100,14.5,overcast clouds
323,Laguna,US,38.421,-121.4238,73.69,57,100,1.01,overcast clouds
324,Kodiak,US,57.79,-152.4072,56.71,82,100,4.61,haze
325,Lorengau,PG,-2.0226,147.2712,80.96,82,90,7.54,overcast clouds
326,Pangkalanbuun,ID,-2.6833,111.6167,75.18,97,91,2.13,light rain
327,Sambava,MG,-14.2667,50.1667,69.62,86,65,13.73,light rain
328,Yangambi,CD,0.8102,24.4336,74.01,75,65,1.34,broken clouds
329,Benguela,AO,-12.5763,13.4055,67.12,87,0,1.72,clear sky
330,Sao Joao Do Paraiso,BR,-15.3136,-42.0144,68.34,45,8,10.38,clear sky
331,Harboore,DK,56.6175,8.1807,59.04,84,57,9.71,broken clouds
332,Amberley,US,39.2048,-84.428,89.92,39,0,6.91,clear sky
333,Cabedelo,BR,-6.9811,-34.8339,74.07,86,100,17.96,heavy intensity rain
334,Tabuk,PH,17.4189,121.4443,74.82,92,100,3.67,overcast clouds
335,Lata,PT,40.1629,-8.3327,65.8,87,0,1.77,clear sky
336,Tiarei,PF,-17.5333,-149.3333,80.62,68,22,11.16,few clouds
337,Doha,QA,25.2867,51.5333,96.78,21,0,8.05,clear sky
338,Morro Bay,US,35.3658,-120.8499,84.72,59,10,11.99,clear sky
339,Bereda,ES,43.2686,-7.5406,62.42,100,100,8.21,overcast clouds
340,Awbari,LY,26.5921,12.7805,92.75,13,13,9.64,few clouds
341,Winona,US,43.9666,-91.7668,85.8,48,0,6.91,clear sky
342,Padang,ID,-0.9492,100.3543,75.09,81,83,4.72,broken clouds
343,Puerto Ayacucho,VE,5.6639,-67.6236,84.11,79,71,3.51,broken clouds
344,Maluso,PH,6.543,121.8753,80.64,82,100,5.32,overcast clouds
345,Kasongo-Lunda,CD,-6.4667,16.8167,71.29,39,3,0.27,clear sky
